M49,iso,year,indicator_id,value
4,AFG,2004,1,1
4,AFG,2005,1,1
4,AFG,2006,1,1
4,AFG,2007,1,1
4,AFG,2008,1,1
4,AFG,2009,1,1
4,AFG,2010,1,1
4,AFG,2011,1,1
4,AFG,2012,1,1
4,AFG,2013,1,1
4,AFG,2014,1,1
4,AFG,2015,1,1
4,AFG,2016,1,1
4,AFG,2017,1,1
24,AGO,2004,1,1
24,AGO,2005,1,1
24,AGO,2006,1,1
24,AGO,2007,1,1
24,AGO,2008,1,1
24,AGO,2009,1,1
24,AGO,2010,1,1
24,AGO,2011,1,1
24,AGO,2012,1,1
24,AGO,2013,1,1
24,AGO,2014,1,1
24,AGO,2015,1,1
24,AGO,2016,1,1
24,AGO,2017,1,1
8,ALB,2004,1,1
8,ALB,2005,1,1
8,ALB,2006,1,1
8,ALB,2007,1,1
8,ALB,2008,1,1
8,ALB,2009,1,1
8,ALB,2010,1,1
8,ALB,2011,1,1
8,ALB,2012,1,1
8,ALB,2013,1,1
8,ALB,2014,1,1
8,ALB,2015,1,1
8,ALB,2016,1,1
8,ALB,2017,1,1
32,ARG,2004,1,1
32,ARG,2005,1,1
32,ARG,2006,1,1
32,ARG,2007,1,1
32,ARG,2008,1,1
32,ARG,2009,1,1
32,ARG,2010,1,1
32,ARG,2011,1,1
32,ARG,2012,1,1
32,ARG,2013,1,1
32,ARG,2014,1,1
32,ARG,2015,1,1
32,ARG,2016,1,1
32,ARG,2017,1,1
1,World,2004,1,0.991071428571429
